salesforce_account_id,account_name,active_workspace_count,q4_2025_dbus,q4_2025_dollars
0013f00000Ai9wEAAR,E&Y - EMEA,68,36953.57,8234.25
0016100001arxpqAAA,Access Bank,1,36278.25,16126.76
001Vp00000VXUwmIAH,adura.com,2,35736.45,18050.63
001Vp00000EyycNIAR,THE LEADERS ROMANS GROUP LIMITED,1,35255.18,23843.07
0018Y00002vRpUPQA0,Waterstons Ltd,26,35176.13,4010.59
001Vp00000DBvtFIAT,Age UK,3,34753.79,3986.72
0016100001EzKTUAA3,Telefónica Tech (UK),79,34586.11,8973.52
0016100001H6kE6AAJ,Northern Powergrid,3,33736.05,20350.59
0018Y000031E8xEQAS,Data Cubed Ltd,17,33646.23,3646.14
0014N00001nfkOkQAI,Zonal Retail,12,33506.53,3658.48
0018Y00002nHx3JQAS,Dufrain Consulting,10,33453.84,2733.34
0016100001H5p8SAAR,Hometrack Data Systems,8,33445.27,17671.46
0016100001dRGSEAA4,Tata Steel Netherlands B.V.,1,33407.34,13563.99
0018Y00002qRmqAQAS,Castle Water Ltd,4,33271.1,9615.35
001Vp000009zt8uIAA,Breathe Battery Technologies,3,33142.06,4159.69
001Vp000006hMwJIAU,Vivid Housing,6,32961.47,9685.31
0014N00001g8igcQAA,AxiCorp Financial Services Pty Ltd,2,32491.86,17932.49
0013f000005Qa0mAAC,Freshfields,6,32416.12,10528.92
0016100000UNXrEAAX,Ryan,2,32112.09,9645.95
0016100001XnZsSAAV,Vinci,4,32016.02,14692.85
0013f0000063sIfAAI,Department for Health and Social Care,28,31949.24,14831.15
0016100001TPKd8AAH,Redgate Software,9,31300.56,16915.77
0016100001cfkwLAAQ,Brightwell Pensions,9,31182.85,10833.12
0016100001WnAUpAAN,Lancashire Teaching Hospitals NHS Foundation Trust,5,30063.47,1923.43
0018Y00002o0QlbQAE,Verastar LTD,4,29953.06,13499.26
001Vp000001SttvIAC,Supporting Education Group,8,29854.03,13439.61
0018Y00002sfBe5QAE,RSM International (HQ),13,29449.81,18421.33
0014N00001nfDqXQAU,Amey,16,29379.15,13745.55
001Vp00000ImFgkIAF,intellipen.cloud,7,29375.91,9349.69
0013f0000063j4MAAQ,University of Southampton,7,29341.27,1551.23
0018Y000036eSSaQAM,Seer 365,1,28908.39,8417.99
0018Y00002m4sBWQAY,H&T Group plc,3,28668.24,4553.58
001Vp00000CU19TIAT,Home Instead UK,2,28652.53,8954.39
001Vp0000016m6NIAQ,OCU Group Limited,4,27804.39,11334.89
0018Y000036eum5QAA,Alder Hey Children's Hospital NHS Foundation Trust,1,27714.56,5856.16
0013f00000434TSAAY,Commify,14,27250.09,11087.63
0013f000009fvcJAAQ,1E Limited,4,26781.82,12218.37
001Vp00000DIuPXIA1,tower-peak.com,1,26768.13,18299.56
0013f000004SBxVAAW,Rimes,6,26760.68,2438.01
0016100001H6kFmAAJ,Scottish Water,15,26584.14,10164.48
0014N000027PUJYQA4,University Of Salford,18,26567.91,4309.04
0014N00001wsCCAQA2,The British Red Cross Society,19,26567.23,13059.04
0018Y00002sd2kIQAQ,HITACHI EUROPE LIMITED,10,26166.13,6836.37
0016100001H6kAtAAJ,Good Energy,8,25572.29,10037.8
0018Y00002vRDPrQAO,Royal National Lifeboat Institution (RNLI),3,25225.39,12306.25
0018Y000031DnQdQAK,Airband,3,24983.78,16487.17
0018Y000031Ch2VQAS,Whittard of Chelsea,2,24885.99,9979.45
0016100001Qci5NAAR,Unisys,5,24853.64,5854.0
0016100001H5p4AAAR,Daily Mail,4,24793.28,7340.56
001Vp00000FGMC4IAP,virginmediao2.co.uk,6,24443.11,1023.52
0014N00001nfjwqQAA,Actis,1,24210.14,5633.91
